run_id,date,stage,qa_dataset_path,qa_fields,pdf_subset,collection_name,chunk_strategy,chunk_size,chunk_overlap,retrieval_mode,top_k_initial,top_k_final,rerank_enabled,rerank_model,llm_model,judge_model,recall_at_5,recall_at_10,recall_at_20,mrr,context_precision_at_5,correctness,groundedness,relevance,e2e_success_rate,notes
example_20260527_baseline,2026-05-27,baseline,qa_dataset.json,"question|answer|context|source_id",subset_200_v1.json,experiment_chunk600_overlap200,fixed,600,200,embedding_plus_rerank,20,5,true,ms-marco-MiniLM-L-12-v2,gpt-4o-mini,gpt-4o-mini,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,fill metrics after run
run_001_baseline_fixed600_rerank,2026-05-29,e2e,evaluation/qa_dataset.json,question|answer|context|source_id,subset_200_v1,test,fixed,600,200,embedding_plus_rerank,20,5,true,ms-marco-MiniLM-L-12-v2,gpt-4o-mini,gpt-4o-mini,1.00,1.00,1.00,1.00,0.40,0.00,0.00,0.00,1.00,Week 2 Day 3 baseline: fixed chunk 600/200 collection + embedding retrieval + FlashRank rerank + gpt-4o-mini.
run_001_baseline_fixed600_rerank,2026-05-29,e2e,evaluation/qa_dataset.json,question|answer|context|source_id,subset_200_v1,experiment_chunk600_overlap200,fixed,600,200,embedding_plus_rerank,20,5,true,ms-marco-MiniLM-L-12-v2,gpt-4o-mini,gpt-4o-mini,1.00,1.00,1.00,1.00,0.42,0.00,0.00,0.00,1.00,Week 2 Day 3 baseline: fixed chunk 600/200 collection + embedding retrieval + FlashRank rerank + gpt-4o-mini.
run_001_baseline_fixed600_rerank,2026-05-30,e2e,evaluation/qa_dataset.json,question|answer|context|source_id,subset_200_v1,experiment_chunk600_overlap200,fixed,600,200,embedding_plus_rerank,20,5,true,ms-marco-MiniLM-L-12-v2,gpt-4o-mini,gpt-4o-mini,1.00,1.00,1.00,1.00,0.42,0.00,0.00,0.00,1.00,Week 2 Day 3 baseline: fixed chunk 600/200 collection + embedding retrieval + FlashRank rerank + gpt-4o-mini.
run_001_baseline_fixed600_rerank,2026-05-30,e2e,evaluation/qa_dataset.json,question|answer|context|source_id,subset_200_v1,experiment_chunk600_overlap200,fixed,600,200,embedding_plus_rerank,20,5,true,ms-marco-MiniLM-L-12-v2,gpt-4o-mini,gpt-4o-mini,0.94,0.94,0.94,0.83,0.35,0.00,0.00,0.00,0.94,Week 2 Day 3 baseline: fixed chunk 600/200 collection + embedding retrieval + FlashRank rerank + gpt-4o-mini.
run_002_subset200_dev_baseline,2026-05-31,e2e,experiment/subsets/qa_gold_dev.json,question|answer|context|source_id,subset_200_v1,experiment_subset200_chunk600_overlap200,fixed,600,200,embedding_plus_rerank,20,5,true,ms-marco-MiniLM-L-12-v2,gpt-4o-mini,gpt-4o-mini,0.93,0.93,0.93,0.75,0.36,0.00,0.00,0.00,0.93,Week 3 Day 2 dev split on subset_200 collection (600/200 fixed chunk + rerank).
run_002_subset200_dev_baseline,2026-05-31,e2e,experiment/subsets/qa_gold_dev.json,question|answer|context|source_id,subset_200_v1,experiment_subset200_chunk600_overlap200,fixed,600,200,embedding_plus_rerank,20,5,true,ms-marco-MiniLM-L-12-v2,gpt-4o-mini,gpt-4o-mini,0.93,0.93,0.93,0.75,0.36,0.50,1.00,1.00,0.03,Week 3 Day 2 dev split on subset_200 collection (600/200 fixed chunk + rerank).
run_002_subset200_dev_baseline,2026-05-31,e2e,experiment/subsets/qa_gold_dev.json,question|answer|context|source_id,subset_200_v1,experiment_subset200_chunk600_overlap200,fixed,600,200,embedding_plus_rerank,20,5,true,ms-marco-MiniLM-L-12-v2,gpt-4o-mini,gpt-4o-mini,0.93,0.93,0.93,0.75,0.36,0.87,0.93,0.93,0.87,Week 3 Day 2 dev split on subset_200 collection (600/200 fixed chunk + rerank).
run_002_subset200_dev_baseline,2026-05-31,e2e,experiment/subsets/qa_gold_dev.json,question|answer|context|source_id,subset_200_v1,experiment_subset200_chunk600_overlap200,fixed,600,200,embedding_plus_rerank,20,5,true,ms-marco-MiniLM-L-12-v2,gpt-4o-mini,gpt-4o-mini,0.97,0.97,0.97,0.85,0.47,0.90,0.93,0.93,0.90,Week 3 Day 5 dev split on subset_200 with pdf_id+page gold alignment.
run_003_subset200_chunk800_dev,2026-05-31,chunking,experiment/subsets/qa_gold_dev.json,question|answer|context|source_id,subset_200_v1,experiment_subset200_chunk800_overlap160,fixed,800,160,embedding_plus_rerank,20,5,true,ms-marco-MiniLM-L-12-v2,gpt-4o-mini,gpt-4o-mini,0.93,0.93,0.93,0.83,0.37,0.00,0.00,0.00,0.93,Week 4 Day 1 fixed chunk 800/160 ablation on subset_200 dev (compare to run_002 600/200).
